Вопрос,Ключевое слово,Hit@3,Hit@5
Какова основная цель программы ПАД?,подготовка высококвалифицированных аналитиков,✅,✅
В каком году была создана программа ПАД?,2018,✅,✅
С каким британским университетом создана программа?,LSE,✅,✅
На каком факультете реализуется программа ПАД?,факультете компьютерных наук,❌,❌
В каком году ВШЭ и Яндекс открыли факультет компьютерных наук?,2014,✅,✅
Какие специализации есть на программе?,Анализ данных в бизнесе,❌,❌
На каком языке ведётся обучение на программе?,английском,❌,❌
Когда был выпущен первый набор студентов ПАД?,2022,✅,✅
Какие предметы ЕГЭ нужны для поступления на ПАД?,Математика,✅,✅
Какой минимальный балл ЕГЭ по математике?,70,✅,✅
Какой минимальный балл ЕГЭ по физике или информатике?,60,❌,❌
Какой минимальный балл ЕГЭ по русскому языку?,60,✅,✅
Сколько платных мест на программе ПАД?,220,✅,✅
Есть ли бюджетные места на программе ПАД?,бюджетные места не предусмотрены,✅,✅
Какова стоимость обучения на 2025 год?,1 млн,✅,✅
Имеют ли победители олимпиад льготы при поступлении?,олимпиад имеют право,❌,❌
Какой коэффициент у балла ЕГЭ по математике при ранжировании?,коэффициент 3,✅,✅
До какой даты нужно предоставить диплом олимпиады для скидки?,22 июля,✅,✅
Сколько мест для иностранных студентов?,10 платных мест,✅,✅
Какие экзамены сдают иностранцы по отдельному конкурсу?,Математику и Английский,❌,❌
Какой минимальный балл по математике для иностранцев?,75,✅,✅
Какой минимальный балл по английскому для иностранцев?,70,❌,✅
Можно ли сдать вступительные экзамены дистанционно?,дистанционно,✅,✅
Какой экзамен нужен иностранцу с российским гражданством?,русскому,✅,✅
Когда публикуется список претендентов на скидку?,25 июля,✅,✅
Какой максимальный размер скидки по результатам обучения?,75%,✅,✅
Какой минимальный размер скидки по результатам обучения?,10%,❌,❌
Кому адресовать вопросы по скидкам?,Шахвердян,✅,✅
Учитываются ли индивидуальные достижения при ранжировании?,индивидуальные достижения,✅,✅
По каким олимпиадам учитываются достижения для скидки?,"математике, информатике, физике",✅,✅
На каком курсе начинается изучение Python?,Python,✅,✅
На каком курсе изучается Машинное обучение?,Машинное обучение,❌,✅
На каком курсе изучаются Базы данных?,Базы данных,❌,❌
На каком курсе изучается Глубокое обучение?,Глубокое обучение,❌,❌
На каком курсе изучается Эконометрика?,Эконометрика,❌,❌
Является ли курс Линейная алгебра обязательным?,Линейная алгебра,✅,✅
На каком курсе изучается Компьютерное зрение?,Компьютерное зрение,❌,❌
На каком курсе изучается Анализ временных рядов?,Анализ временных рядов,❌,❌
Можно ли получить диплом LSE обучаясь на ПАД?,приостановку сотрудничества,❌,❌
Чем ПАД отличается от ПМИ?,ПМИ,✅,✅
Чем ПАД отличается от ЭиАД?,ЭиАД,✅,✅
Предоставляется ли отсрочка от армии студентам ПАД?,отсрочка,✅,✅
Трудно ли сразу учиться на английском?,языковой подготовке,✅,✅
Когда на ПАД начинается практическая проектная работа?,2-го курса,✅,✅
Есть ли на ФКН военный учебный центр?,Военный учебный центр,✅,✅
Изменился ли учебный план после приостановки сотрудничества с LSE?,изменений в учебном плане не произошло,✅,✅
Какой размер стипендии Яндекса для студентов-бакалавров?,30,✅,✅
Сколько студентов-бакалавров получают стипендию Яндекса?,десять,✅,✅
В каких компаниях могут работать выпускники ПАД?,Яндекс,✅,✅
Какую магистерскую программу открыл ФКН в партнёрстве со Сбером?,Финансовые технологии,❌,❌
